Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan
2020-03-01,54318389,56638897.61657853,31931020,33170996.139019754,13132345,13543832.393961586,1737349,1763655.3764877962,1100118,1610582.8316317447,199175,183263.1588927238,6130048,6278423.099434772,88334,88144.61715015346
2020-03-08,44617593,56670243.54207938,25001330,33203480.520717308,11708729,13526098.808031898,1216175,1761046.3148128246,947142,1610078.411007474,176450,183006.51380909787,5491059,6298537.77687652,76708,87995.19682426262
2020-03-15,20124064,56562217.448675364,9352199,33073530.87643678,5678972,13566181.797529202,408682,1754144.003411306,780927,1613272.3150046403,93411,183652.0552165711,3787165,6284336.721828905,22708,87099.67924795511
2020-03-22,7667324,57973219.658128284,4074388,33274862.87878788,300960,14756350.0,140293,1759880.0,731529,1614995.5423853751,53616,182932.38852262622,2357523,6295924.660398214,9015,88274.18803418803
2020-03-29,5807709,58871224.3978099,3045326,33231161.111111112,169365,15253550.0,72893,1884830.0,311840,1770918.6666666667,45916,182160.23707773708,2157016,6456272.835335336,5353,92331.54761904762
2020-04-05,4920255,55564944.71914635,2568295,33541026.785714284,117030,11703000.0,50132,1754300.0,54677,1822566.6666666667,39465,178326.0835042151,2086322,6474288.516594517,4334,91436.66666666667
2020-04-12,5024933,52068214.59298682,2543981,32136851.984126985,97266,9726600.0,46945,1641633.3333333333,55274,1810100.0,40273,180034.16977225672,2236755,6486307.248611393,4439,86687.85714285714
2020-04-19,5455936,52832291.50695876,2730390,33415744.444444444,92593,9259300.0,46868,1593983.3333333333,56862,1811541.6666666665,42393,181459.27098264056,2482288,6482720.569309453,4542,87542.22222222222
2020-04-26,6065627,52839007.78654833,2975082,33461375.126262628,91340,9134000.0,49903,1766766.6666666665,60863,1657188.3333333333,46649,180009.66289388,2837012,6548151.886280711,4778,91516.11111111111
2020-05-03,6608670,54237247.751489855,3192732,34573319.8989899,93031,9303100.0,86406,1857790.0,65859,1597491.6666666667,51746,182003.89483829512,3113647,6628188.95766166,5249,95353.33333333333
2020-05-10,7193626,54011771.78174868,3443084,34202517.777777776,93967,9396700.0,115993,1822838.8888888888,74188,1698120.0,53196,182043.4429541047,3407778,6612625.005461245,5420,96926.66666666667
2020-05-17,7770328,54918884.74457094,3749128,34482043.84615385,100022,10002200.0,134205,1811686.9047619049,83266,1713174.4444444445,57663,180803.1563329144,3640001,6632999.726211166,6043,95976.66666666667
2020-05-24,8061005,50536271.86283428,3811628,31254797.34015984,93475,9347500.0,151851,1605826.0164835164,92602,1554242.3809523808,56965,168200.99358690844,3849325,6525552.651645707,5159,80152.480005924
2020-05-31,8962223,55377790.31642342,4335072,34206169.5970696,104131,10413100.0,198771,1891324.77124183,106751,1759674.1666666665,68867,181488.80943103664,4141735,6834967.9652225645,6896,91065.00679172878
2020-06-07,10445386,59513447.28607276,5194573,34032945.99789916,148234,14823400.0,260234,1867866.575091575,134359,1698689.6728271728,77169,181733.92725838392,4622536,6820806.351938266,8281,88004.76105820504
2020-06-14,11362503,55310153.10872567,5733127,30657554.127966978,157095,14430600.0,295692,1668988.6904761905,156694,1547756.3333333333,82676,170919.46117712074,4927966,6758288.623602729,9253,76045.87216931615
2020-06-21,12315710,57812226.2637273,6451639,33817279.53216374,181654,13305300.0,320674,1876387.4794323323,164747,1725145.1262626264,87729,182302.4410533444,5097226,6817809.670163237,12041,88002.01465201465
2020-06-28,12439981,48749284.65322326,6482087,29229624.415584415,170374,9548750.0,371168,1646092.1288738782,188228,1521513.0303030303,88014,164613.3323832681,5128381,6566759.669748135,11729,71932.07633053222
2020-07-05,12955393,53251727.20213009,6977496,31273051.171257086,183529,11645550.0,375042,1796889.0367965368,191375,1676588.1738437002,96472,173811.20619946092,5118169,6607806.57430162,13310,78031.03973168215
2020-07-12,13846515,53894298.26481348,7485516,31292546.95567476,191469,12267250.0,408456,1823572.2321428573,207818,1655423.5285547785,101626,173974.7488869474,5437233,6603713.986688638,14397,77816.81286549708
2020-07-19,13866791,55463723.71636879,7507669,31606629.463720936,185015,13484300.0,411693,1812648.6834733894,212934,1685657.9093056065,102516,174617.14702056232,5432611,6622766.909047117,14353,77103.6038011696
2020-07-26,14165637,54213673.65307605,7702614,31392669.30809595,190942,12341000.0,418309,1829734.9380504552,213286,1692710.6163444398,104818,176471.94135110217,5520935,6703907.389309789,14733,77179.4599243206
2020-08-02,14059726,54287615.740548715,7763253,31026182.912087914,200560,12833150.0,377604,1790700.2035535309,186949,1634703.3333333333,106336,174303.44983515382,5410425,6752430.443234198,14599,76145.39850459289
2020-08-09,14523646,52742813.100538984,7956348,31131695.683542844,198923,11152400.0,433132,1800414.3575614789,219750,1663014.1223155928,112180,174350.04017613363,5586544,6745794.359017091,16769,75144.53792584228
2020-08-16,15144312,52486357.61028933,8318284,31162141.312169313,195399,10940100.0,457461,1808142.3457548458,232568,1596288.8555888555,114698,174677.33320280287,5809877,6730050.278787766,16025,74957.48478574565
2020-08-23,15047378,53380768.42054365,8330057,31377430.854700856,200976,11551900.0,457021,1825249.4414752757,233741,1630924.6153846153,114666,174554.9203051139,5695109,6745480.433763646,15808,75228.15491413957
2020-08-30,22010480,58529999.67144313,9285211,34296153.41688494,6035891,13812370.414473142,498366,1842664.7925139498,260179,1684081.632337067,119597,181255.76294180134,5794956,6626647.420044941,16280,86826.23224728488
2020-09-06,21708994,54138921.97406387,9151290,31377692.422365066,6106146,12875373.61406061,508672,1626447.990434815,255729,1491636.424308854,113522,170382.05051399692,5558465,6519236.500044857,15170,78152.97233566994
2020-09-13,23726549,59187349.18018624,10351731,34676877.92133154,6743983,14097399.398604132,526818,1838466.7877492877,275479,1707297.4475703323,125943,182740.82988060283,5683143,6592395.980032029,19452,92170.81501831501
2020-09-20,24053538,59154770.78467251,10508253,34630202.41227627,6824382,14094654.880910495,534878,1863874.9603174604,282835,1698869.5572335215,127498,182210.7458381555,5757103,6592320.847567507,18589,92637.38052910252
2020-09-27,23874122,58869603.217893325,10512764,34647732.26010178,6767917,13928894.109290339,520698,1825277.7137287664,281566,1687757.2877612584,126323,184581.53273553483,5645761,6501128.2579985885,19093,94232.05627705628
2020-10-04,24392511,58441520.14857524,10832643,34573269.820435405,6942204,13668349.253246753,509304,1775289.1409292463,297275,1715314.0740740742,129808,185179.55324721406,5659941,6426793.455364791,21336,97324.8512777545
2020-10-11,23390072,58513137.14452616,10469878,34642112.80298912,6481464,13676030.98413035,495037,1782536.622742385,289185,1689607.395730706,125239,184745.56632182654,5509309,6441658.120681711,19960,96445.6519300684
2020-10-18,24629451,58157682.363042384,11050742,34352221.54793907,6976021,13601040.384595944,517900,1779719.739281672,295740,1707970.4259259258,132854,184872.1742756811,5637310,6436561.338623894,18884,95296.75240019639
2020-10-25,23640891,58253064.757066995,10759069,34466910.0648207,6601457,13611324.342653833,497879,1765475.6142707756,275989,1719310.8062770562,131109,185979.85156067734,5357809,6407399.155796908,17579,96664.92168704988
2020-11-01,24005119,57368710.51450965,10846410,33874203.72067413,6780900,13241767.408611,512228,1853548.5716072547,272695,1664439.4413320883,133196,191846.5974544757,5441303,6451425.494812482,18387,91479.2800182274
2020-11-08,23610541,52443262.85843817,10834022,30658426.039415807,6632421,12082534.515130492,511330,1621075.5966255965,263634,1501574.2512531327,131649,179024.37770545227,5219437,6323762.981171522,18048,76865.09713616697
2020-11-15,23713404,57322455.75848333,10852163,33776757.767545775,6666455,13287864.8320802,502784,1847804.5614516202,254522,1676044.0465747702,136377,191907.01292218955,5283379,6452412.537908774,17724,89665.0
2020-11-22,20238916,47624365.299279466,8846000,27575582.787806187,5609768,10879496.007092273,491185,1387290.6905289833,220637,1322517.3214285714,110275,166739.77814746767,4946335,6229512.265026828,14716,63226.44924915938
2020-11-29,22056546,55073784.728799105,10181753,32678937.350982353,6203460,12471361.048759125,442991,1834939.4522144522,223486,1655577.777777778,129112,182993.64677141333,4857673,6162087.399790928,18071,87888.0525030525
2020-12-06,22974845,54644841.11587077,10449863,32565185.043356255,6512178,12223390.031948157,465202,1807077.6912366913,236017,1680841.978021978,134171,181394.72583404288,5161063,6101287.035507311,16351,85664.60996633196
2020-12-13,20370957,54680752.089829415,9686130,32593271.56067521,5552430,12254392.412692484,391569,1787492.4716694595,204749,1691119.2275371687,112712,181260.29368395003,4408699,6089022.160253758,14668,84193.96331738436
2020-12-20,19650907,50436531.09264002,8686728,29789709.070742853,5294084,11293363.39018914,445216,1599376.5008140008,217373,1502070.5417389628,110862,169541.83308489912,4882223,6009013.094972978,14421,73456.6610971874
2020-12-27,18473069,48152480.10433036,8178133,28238229.682716247,4995028,11064035.205352351,393600,1522008.3131868131,215010,1421533.669467787,102781,157698.44354853078,4574514,5676789.112118574,14003,72185.67794006088
2021-01-03,21401451,52415781.391674176,9752974,30768753.293131843,6067383,12358876.714253185,400848,1687642.4948240167,223195,1567724.7058823528,129750,169720.31436680065,4809824,5774251.238396502,17477,88812.63081947292
2021-01-10,21740715,52126081.79902459,9913957,30495538.37008061,6109672,12318641.777998907,406735,1699540.008567145,230311,1564262.7166950696,130735,169549.1183088721,4931504,5789453.995748967,17801,89095.81162502215
2021-01-17,20990324,47202007.78661817,9551501,27331952.759904724,5805415,11188170.85522414,403622,1466789.6153579836,212566,1381667.2943331178,113607,154860.7245974869,4886814,5602862.698544251,16799,75703.83865647024
2021-01-24,20925135,52246147.73303102,9627653,30612644.036892846,5652609,12328763.76976523,396605,1688903.8383315557,220253,1559904.6161075768,116033,169545.46522605783,4895408,5798150.369153722,16574,88235.63755403
2021-01-31,17816545,54465296.69111958,8619659,31987549.94324613,4948374,12945215.480818827,287000,1640571.6578477623,187846,1623705.4655870446,96825,180737.06615668055,3662801,5999079.875483829,14040,88437.20197930724
2021-02-07,22249100,54730950.62765583,10427504,32247470.258995038,6115043,12971755.38457101,406791,1686092.3784478728,233486,1547986.864451338,119154,180662.44750574802,4929608,6007705.4952513585,17514,89277.79843346507
2021-02-14,20195050,49740762.22518966,9473872,28992807.778261967,5482560,11786584.24510338,390825,1461029.6113009795,212858,1387914.5054945054,102687,167489.1235768016,4516359,5871327.173286759,15889,73609.7881652661
2021-02-21,22977606,54771771.22130889,10622538,32235275.826632228,6329324,13004184.77359781,422363,1687771.6961196822,240246,1560722.6176016966,127368,180127.17631750854,5216538,6015998.74429597,19229,87690.38674398606
2021-02-28,23694755,56919258.64664855,10988878,33444468.51763686,6506578,13526686.449254328,452745,1765567.1862745099,246181,1639642.347706641,129185,183585.75082519205,5354027,6272952.767668666,17161,86355.62728234928
2021-03-07,24497203,56780219.750016645,11380438,33250563.337176085,6708223,13584165.525758667,468360,1766632.9584859584,267138,1616996.0058661145,131664,182984.99775278795,5523620,6292540.646885132,17760,86336.27809189599
2021-03-14,24473137,56700917.56037886,11393356,33176195.408962537,6641533,13586726.705611318,471443,1761707.3205128205,267186,1618180.3921568627,126749,183718.24649723968,5556133,6287621.219086372,16737,86768.26755171154
2021-03-21,24786476,56504683.13987795,11554623,33097685.50282234,6766360,13508618.579828098,490690,1753915.2188552187,278171,1599934.1089466088,128240,182853.7282581999,5550158,6273950.686749593,18234,87725.31441788885
2021-03-28,24249730,57028953.728850715,11300413,33455167.57699132,6336639,13449593.461883862,508160,1757999.1546320857,290921,1664183.9057315234,123632,182399.92722272922,5670182,6430715.0447026575,19783,88894.65768653608
2021-04-04,25862430,56840113.784461424,12077299,33391273.92964393,7032787,13237802.256174283,510046,1749466.4285714286,296147,1692993.0202020202,132146,180170.8736398782,5792793,6498661.154762973,21212,89746.12146691632
2021-04-11,26235426,57013718.33273452,12369243,33587538.7225996,7135383,13217212.795096027,514120,1759242.4991674991,306985,1692256.2512899898,134390,180020.22078997124,5757016,6488756.599108152,18289,88691.24468327562
2021-04-18,26676388,56971396.99813618,12626409,33532762.75894438,7212083,13246656.00947614,525798,1756545.9120943605,310305,1684674.5414057677,134176,180452.6260554199,5848486,6481500.952343011,19131,88804.19781709833
2021-04-25,27398761,57076930.81165075,12989543,33524206.638440505,7373124,13305658.406020002,545610,1755779.6845763165,323300,1708721.9353081735,137425,178939.74387820077,6010371,6515789.662790958,19388,87834.74063659768
2021-05-02,27699420,58591159.04144915,13156152,34436316.24086614,7387665,13733439.491837138,582449,1799751.1409352142,338250,1704493.7208216619,141448,181455.47328136035,6072829,6641910.0628755,20627,93792.91083213282
2021-05-09,28385639,58200792.1971623,13589799,34055880.84018871,7488290,13725427.223898107,613278,1823569.8883901401,359806,1696849.423826947,137902,181504.26186081578,6176194,6623572.332853738,20370,93988.22614384405
2021-05-16,28970454,58353322.80896432,13945725,34206821.69115294,7578113,13730608.023643428,644629,1822527.0226692497,381144,1688996.7152893546,138271,181329.352487092,6258044,6628491.627392746,24528,94548.37632950676
2021-05-23,28082668,58234985.7129013,13685633,34108424.865318544,7202197,13745156.071450287,659212,1809540.029809595,371395,1680132.2039437718,134743,181375.3007416108,6005170,6614402.996870987,24318,95954.24476650564
2021-05-30,28313708,52884581.57391406,13691724,30664569.298668813,7014849,12082011.521397423,671562,1656232.257176244,516662,1549630.04135332,129932,169540.82309583074,6269124,6687042.209003363,19855,75555.4232190653
2021-06-06,30431731,57770014.603101835,14972455,33834975.71901552,7630025,13211603.884066839,687230,1879427.8171420083,567108,1741461.850153107,141646,182272.03834399296,6410600,6832268.3866170235,22667,88004.90776335174
2021-06-13,31392621,53191687.87807166,15510589,30808909.258968957,7753268,12160950.831508664,749944,1645316.1997227997,612191,1555761.9545105433,142737,170389.5754006001,6600479,6774385.538135139,23413,75974.51982496047
2021-06-20,31444040,57885803.20230479,15716155,33889298.96111468,7588604,13257868.118711114,761832,1880399.0203276281,625436,1754361.9441317196,137673,181916.2676121173,6587189,6831782.512122729,27151,90176.37828480432
2021-06-27,29277219,56172474.4768724,14541492,32603398.707506962,7039895,13049737.196515923,725873,1858563.4661826005,604365,1716024.8466180083,134108,176380.5952788231,6205290,6683539.363937841,26196,84830.300832235
2021-07-04,28634817,50286420.35190423,14064983,28572826.42156668,6958255,11831202.72748442,690083,1597747.143026485,558493,1504164.9264767491,126404,162459.22177023668,6212013,6550327.821671674,24586,67692.0899079812
2021-07-11,30985977,54526410.686643384,15461528,31406532.772981387,7601539,12762698.281402169,753746,1814310.50354251,636369,1676265.1936167974,136614,174064.138572977,6371648,6616589.0033973055,24533,75950.79313024331
2021-07-18,31363586,54785103.40377148,15646039,31604399.712638006,7633117,12812916.739354404,783010,1821375.0036538132,640288,1671369.5958159114,136251,173816.93544104457,6500315,6625162.886944974,24566,76062.52992332686
2021-07-25,31250395,54835045.8334701,15519900,31654887.009815797,7672796,12789220.452029342,788528,1809434.705417986,621532,1679778.758454619,135514,175432.56072179854,6487720,6649917.6747547975,24405,76374.67227576333
2021-08-01,31130461,54098014.60030948,15509704,31126367.427419055,7645367,12561371.048771821,754938,1802257.5467464237,625970,1620794.8452685296,137094,174205.5272414899,6432714,6738949.008150591,24674,74069.19671157259
2021-08-08,30772640,53890656.17245779,15235110,30952237.622483086,7561649,12525289.665662803,744330,1804808.96230962,580357,1617826.877807435,136272,174071.7468926908,6490826,6742814.323864107,24096,73606.97343804901
2021-08-15,29186612,53980727.4284207,14517104,31012824.64702046,7159878,12571067.252271399,704302,1795094.3451723715,572414,1617539.4354621365,129361,174463.6803782637,6077395,6734342.571040048,26158,75395.4970760234
2021-08-22,30122029,54048374.75638182,14939636,31052517.975526247,7281033,12586245.176495966,747538,1800797.775506479,567702,1625350.037820958,132436,174344.90059720073,6426292,6733935.395678058,27392,75183.49475690673
2021-08-29,29523935,57268915.73703153,14392973,33381656.483164664,7379206,13481611.369853294,784874,1824679.9960778884,525780,1671125.632629571,131903,179735.30217076896,6283848,6644747.023217561,25351,85359.9299177823
2021-09-05,30481289,54164619.584333,15400904,31322436.91913652,7166337,12920551.894633586,800956,1627813.7889364425,625516,1523016.6167319014,125573,170200.12956440123,6335398,6521920.247288652,26605,78679.98804150117
2021-09-12,34883053,59242626.356953494,18026166,34675084.84808842,8667757,14111700.848434426,849439,1859962.604243302,726905,1709533.6934747337,139770,182851.83970844734,6437883,6611244.184664516,35133,92248.33833964563
2021-09-19,35962994,59276452.865586534,18804658,34751400.05065305,8976217,14101826.477989975,882076,1845814.9266567484,744502,1703364.1698952366,138360,182673.48118814785,6378848,6598765.860645054,38333,92607.89855832218
2021-09-26,35984388,58837299.61369894,18813943,34530790.09842965,9026224,13970933.526307337,871080,1825946.7709363047,745547,1702827.475328527,139993,184748.15570369526,6349375,6527426.923989761,38226,94626.66300366301
2021-10-03,36105342,58223923.93769486,19007799,34391387.542164996,8906799,13636695.522231238,906558,1766583.4818594104,755057,1705489.2534145443,143470,185197.05645371796,6350898,6440212.696262573,34761,98358.3853083853
2021-10-10,35543704,58530262.01528808,18663723,34657873.45047484,8611405,13683829.111178288,901380,1778235.8846620389,763553,1711683.9594237434,138427,185075.6859018999,6428449,6415923.627026591,36767,97640.29662067255
2021-10-17,36834804,58455874.777569056,19566346,34595858.10940192,8952685,13670574.638171598,902296,1777450.8949710527,793333,1704922.678062678,142051,184556.41897252703,6438939,6424875.521513628,39154,97636.51647565316
2021-10-24,35993153,58369723.816234395,19406980,34521747.69864334,8616468,13645166.207031017,902340,1777212.2114322248,750536,1716290.869324474,139254,185135.89662471766,6139928,6427130.924282667,37647,97040.00889595794
