Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2020-03-01,54318389,56638897.61657853,31931020,33170996.139019754,13132345,13543832.393961586,1737349,1763655.3764877962,1100118,1610582.8316317447,199175,183263.1588927238,6130048,6278423.099434772,88334,88144.61715015346,96.0,96.0,97.0,99.0,68.0,109.0,98.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,44617593,56670243.54207938,25001330,33203480.520717308,11708729,13526098.808031898,1216175,1761046.3148128246,947142,1610078.411007474,176450,183006.51380909787,5491059,6298537.77687652,76708,87995.19682426262,79.0,75.0,87.0,69.0,59.0,96.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,20124064,56562217.448675364,9352199,33073530.87643678,5678972,13566181.797529202,408682,1754144.003411306,780927,1613272.3150046403,93411,183652.0552165711,3787165,6284336.721828905,22708,87099.67924795511,36.0,28.0,42.0,23.0,48.0,51.0,60.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,7667324,57973219.658128284,4074388,33274862.87878788,300960,14756350.0,140293,1759880.0,731529,1614995.5423853751,53616,182932.38852262622,2357523,6295924.660398214,9015,88274.18803418803,13.0,12.0,2.0,8.0,45.0,29.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,5807709,58871224.3978099,3045326,33231161.111111112,169365,15253550.0,72893,1884830.0,311840,1770918.6666666667,45916,182160.23707773708,2157016,6456272.835335336,5353,92331.54761904762,10.0,9.0,1.0,4.0,18.0,25.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,4920255,55564944.71914635,2568295,33541026.785714284,117030,11703000.0,50132,1754300.0,54677,1822566.6666666667,39465,178326.0835042151,2086322,6474288.516594517,4334,91436.66666666667,9.0,8.0,1.0,3.0,3.0,22.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,5024933,52068214.59298682,2543981,32136851.984126985,97266,9726600.0,46945,1641633.3333333333,55274,1810100.0,40273,180034.16977225672,2236755,6486307.248611393,4439,86687.85714285714,10.0,8.0,1.0,3.0,3.0,22.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,5455936,52832291.50695876,2730390,33415744.444444444,92593,9259300.0,46868,1593983.3333333333,56862,1811541.6666666665,42393,181459.27098264056,2482288,6482720.569309453,4542,87542.22222222222,10.0,8.0,1.0,3.0,3.0,23.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,6065627,52839007.78654833,2975082,33461375.126262628,91340,9134000.0,49903,1766766.6666666665,60863,1657188.3333333333,46649,180009.66289388,2837012,6548151.886280711,4778,91516.11111111111,11.0,9.0,1.0,3.0,4.0,26.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,6608670,54237247.751489855,3192732,34573319.8989899,93031,9303100.0,86406,1857790.0,65859,1597491.6666666667,51746,182003.89483829512,3113647,6628188.95766166,5249,95353.33333333333,12.0,9.0,1.0,5.0,4.0,28.0,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,7193626,54011771.78174868,3443084,34202517.777777776,93967,9396700.0,115993,1822838.8888888888,74188,1698120.0,53196,182043.4429541047,3407778,6612625.005461245,5420,96926.66666666667,13.0,10.0,1.0,6.0,4.0,29.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,7770328,54918884.74457094,3749128,34482043.84615385,100022,10002200.0,134205,1811686.9047619049,83266,1713174.4444444445,57663,180803.1563329144,3640001,6632999.726211166,6043,95976.66666666667,14.0,11.0,1.0,7.0,5.0,32.0,55.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,8061005,50536271.86283428,3811628,31254797.34015984,93475,9347500.0,151851,1605826.0164835164,92602,1554242.3809523808,56965,168200.99358690844,3849325,6525552.651645707,5159,80152.480005924,16.0,12.0,1.0,9.0,6.0,34.0,59.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,8962223,55377790.31642342,4335072,34206169.5970696,104131,10413100.0,198771,1891324.77124183,106751,1759674.1666666665,68867,181488.80943103664,4141735,6834967.9652225645,6896,91065.00679172878,16.0,13.0,1.0,11.0,6.0,38.0,61.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,10445386,59513447.28607276,5194573,34032945.99789916,148234,14823400.0,260234,1867866.575091575,134359,1698689.6728271728,77169,181733.92725838392,4622536,6820806.351938266,8281,88004.76105820504,18.0,15.0,1.0,14.0,8.0,42.0,68.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,11362503,55310153.10872567,5733127,30657554.127966978,157095,14430600.0,295692,1668988.6904761905,156694,1547756.3333333333,82676,170919.46117712074,4927966,6758288.623602729,9253,76045.87216931615,21.0,19.0,1.0,18.0,10.0,48.0,73.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,12315710,57812226.2637273,6451639,33817279.53216374,181654,13305300.0,320674,1876387.4794323323,164747,1725145.1262626264,87729,182302.4410533444,5097226,6817809.670163237,12041,88002.01465201465,21.0,19.0,1.0,17.0,10.0,48.0,75.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,12439981,48749284.65322326,6482087,29229624.415584415,170374,9548750.0,371168,1646092.1288738782,188228,1521513.0303030303,88014,164613.3323832681,5128381,6566759.669748135,11729,71932.07633053222,26.0,22.0,2.0,23.0,12.0,53.0,78.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,12955393,53251727.20213009,6977496,31273051.171257086,183529,11645550.0,375042,1796889.0367965368,191375,1676588.1738437002,96472,173811.20619946092,5118169,6607806.57430162,13310,78031.03973168215,24.0,22.0,2.0,21.0,11.0,56.0,77.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,13846515,53894298.26481348,7485516,31292546.95567476,191469,12267250.0,408456,1823572.2321428573,207818,1655423.5285547785,101626,173974.7488869474,5437233,6603713.986688638,14397,77816.81286549708,26.0,24.0,2.0,22.0,13.0,58.0,82.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,13866791,55463723.71636879,7507669,31606629.463720936,185015,13484300.0,411693,1812648.6834733894,212934,1685657.9093056065,102516,174617.14702056232,5432611,6622766.909047117,14353,77103.6038011696,25.0,24.0,1.0,23.0,13.0,59.0,82.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,14165637,54213673.65307605,7702614,31392669.30809595,190942,12341000.0,418309,1829734.9380504552,213286,1692710.6163444398,104818,176471.94135110217,5520935,6703907.389309789,14733,77179.4599243206,26.0,25.0,2.0,23.0,13.0,59.0,82.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-02,14059726,54287615.740548715,7763253,31026182.912087914,200560,12833150.0,377604,1790700.2035535309,186949,1634703.3333333333,106336,174303.44983515382,5410425,6752430.443234198,14599,76145.39850459289,26.0,25.0,2.0,21.0,11.0,61.0,80.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,14523646,52742813.100538984,7956348,31131695.683542844,198923,11152400.0,433132,1800414.3575614789,219750,1663014.1223155928,112180,174350.04017613363,5586544,6745794.359017091,16769,75144.53792584228,28.0,26.0,2.0,24.0,13.0,64.0,83.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
