Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2020-03-01,45217886,46828398.288777545,26995727,27831332.826724287,10926097,11217973.772507686,1549726,1568661.6509124595,963480,1380157.8316317447,161581,148784.53634494235,4537058,4601591.5204874035,84217,79896.15016902138,97.0,97.0,97.0,99.0,70.0,109.0,99.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,38737276,46837374.88819524,22172954,27839634.878015783,10003887,11213445.308031898,1137883,1566264.1092990402,874800,1379918.411007474,150576,148474.61864061863,4323971,4609907.095058339,73205,79730.46814209207,83.0,80.0,89.0,73.0,63.0,101.0,94.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,17871838,46660806.53162727,8323858,27704757.54310345,5193964,11188548.617805699,387353,1561584.003411306,736397,1379178.7321169395,82120,148766.96749727288,3127123,4599047.417016071,21023,78923.25067652654,38.0,30.0,46.0,25.0,53.0,55.0,68.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,6543562,47200406.10843237,3478295,28055608.333333332,266908,11351150.0,130656,1567140.0,694289,1383115.843137255,45751,148541.16045245077,1919667,4614799.660398214,7996,80051.11111111111,14.0,12.0,2.0,8.0,50.0,31.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,4800127,48609461.733992234,2535745,27569150.0,146449,12961950.0,66197,1661630.0,303788,1502518.6666666665,38778,146913.314000814,1704542,4683614.039039039,4628,83685.71428571429,10.0,9.0,1.0,4.0,20.0,26.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,3955497,45872790.95724159,2112835,27847776.785714284,100271,10027100.0,45138,1504600.0,47217,1573900.0,32705,143350.3692185008,1613697,4692968.8023088025,3634,83095.0,9.0,8.0,1.0,3.0,3.0,23.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,3979805,42613165.977907464,2065117,26462733.92857143,82222,8222200.0,42337,1411233.3333333333,47425,1580833.3333333335,33329,144946.16977225672,1705615,4712774.212897108,3760,78445.0,9.0,8.0,1.0,3.0,3.0,23.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,4324356,43388782.64988017,2216216,27702700.0,78263,7826300.0,42096,1403200.0,48380,1528808.3333333333,35168,145328.77647714605,1900449,4703325.540069686,3784,79120.0,10.0,8.0,1.0,3.0,3.0,24.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,4682730,43346849.1495653,2390352,27849406.944444444,76024,7602400.0,42630,1524333.3333333333,50116,1412708.3333333333,37893,145670.3536833537,2081760,4729415.184770838,3955,82915.0,11.0,9.0,1.0,3.0,4.0,26.0,44.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,5181138,44880275.98659879,2603902,28932244.444444444,79070,7907000.0,70765,1630398.3333333335,53964,1349100.0,42729,147346.77339901478,2326354,4827106.435421995,4354,87080.0,12.0,9.0,1.0,4.0,4.0,29.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,5616933,44477810.32508486,2794822,28526967.777777776,78721,7872100.0,96125,1602083.3333333333,59920,1433320.0,43672,147518.93315018315,2539075,4807113.614156896,4598,88706.66666666667,13.0,10.0,1.0,6.0,4.0,30.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,6195502,45385177.457811855,3093283,28662090.0,86194,8619400.0,111351,1590728.5714285714,66676,1461170.0,47996,146305.23966624774,2784740,4817783.646717038,5262,87700.0,14.0,11.0,1.0,7.0,5.0,33.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,6181457,40876898.5781675,3040465,25512019.31818182,77639,7763900.0,122740,1389342.5,72209,1292723.3333333333,46606,133785.56501547986,2816659,4712016.506325509,5139,73111.35531135532,15.0,12.0,1.0,9.0,6.0,35.0,60.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,6943691,45271956.90865904,3492884,28190541.025641028,87640,8764000.0,163884,1671918.888888889,83341,1495126.6666666665,57626,146259.457204316,3051524,4921316.425813697,6792,82794.44444444444,15.0,12.0,1.0,10.0,6.0,39.0,62.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,8164300,49100645.329476595,4218818,28134961.07142857,127388,12738800.0,214020,1647799.9084249083,103890,1440991.0714285714,64180,146500.13415493563,3427747,4910629.507675971,8257,80963.63636363635,17.0,15.0,1.0,13.0,7.0,44.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,8888955,44940298.510996394,4707555,24813037.46130031,136124,12333500.0,239639,1451561.9047619049,121416,1281638.0,68163,135424.56756009947,3606827,4856131.8298993325,9231,69004.74747474748,20.0,19.0,1.0,17.0,9.0,50.0,74.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,9785576,47133508.21525422,5300343,27898852.690058477,158545,10994400.0,268221,1655922.794117647,130897,1456006.9444444445,73440,146909.32880844647,3843365,4902247.776506521,10765,79168.68131868132,21.0,19.0,1.0,16.0,9.0,50.0,78.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,9935705,39217152.829666786,5356790,24092057.74891775,149773,7488650.0,298211,1413377.5834193327,147007,1257451.9191919193,73343,132254.9411220963,3900070,4769877.132113727,10511,63483.50490196078,25.0,22.0,2.0,21.0,12.0,55.0,82.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-05,10160617,43438029.58729956,5656332,26174524.652738567,159691,9261750.0,310078,1565870.4761904762,152833,1416375.4545454546,80624,141428.816262354,3789292,4808779.147831032,11767,69301.03973168215,23.0,22.0,2.0,20.0,11.0,57.0,79.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-12,10876314,44022327.46978728,6121586,26170656.669960476,167289,9849250.0,330792,1590630.0,165072,1401229.7785547785,84789,141792.49082243128,3993679,4799791.71758409,13107,68976.81286549708,25.0,23.0,2.0,21.0,12.0,60.0,83.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-19,10807391,45518913.01076325,6084155,26456484.370882742,160527,11035500.0,332189,1581852.3809523808,167591,1422168.7645687645,84737,142185.1812085965,3965180,4812225.792682927,13012,68496.52046783626,24.0,23.0,1.0,21.0,12.0,60.0,82.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-26,11119981,43919342.79655827,6270086,26127367.239130434,164981,9744900.0,343402,1589995.0216450216,169140,1433028.2634032634,86702,141652.23860719975,4072456,4813596.115643696,13214,68803.91812865497,25.0,24.0,2.0,22.0,12.0,61.0,85.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-02,10917697,43853968.08623002,6266973,25682325.769230768,173883,10165450.0,298259,1551601.6372452872,142933,1375435.0,87436,139705.41994384947,3935069,4871651.593331663,13144,67798.66647844909,25.0,24.0,2.0,19.0,10.0,63.0,81.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,11515854,42527399.6558522,6541108,25752801.230769232,174798,8739900.0,356468,1563724.3083003953,173909,1402405.9523809524,92791,139743.12318008617,4161514,4861845.26520046,15266,66979.77602108037,27.0,25.0,2.0,23.0,12.0,66.0,86.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,11858901,42391316.26613802,6764202,25821972.74074074,171996,8599800.0,370475,1570200.378787879,182288,1339678.7545787545,94945,140037.47813033912,4260474,4853024.984670118,14521,66601.9292301901,28.0,26.0,2.0,24.0,14.0,68.0,88.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
