Date,All_sum_tot_postpan,All_sum_tot_prepan,Subways_sum_tot_postpan,Subways_sum_tot_prepan,Buses_sum_tot_postpan,Buses_sum_tot_prepan,LIRR_sum_tot_postpan,LIRR_sum_tot_prepan,Metro_North_sum_tot_postpan,Metro_North_sum_tot_prepan,Access_A_Ride_sum_tot_postpan,Access_A_Ride_sum_tot_prepan,Bridges_and_Tunnels_sum_tot_postpan,Bridges_and_Tunnels_sum_tot_prepan,Staten_Island_Railway_sum_tot_postpan,Staten_Island_Railway_sum_tot_prepan,All_perc_postpan_as_prepan,Subways_perc_postpan_as_prepan,Buses_perc_postpan_as_prepan,LIRR_perc_postpan_as_prepan,Metro_North_perc_postpan_as_prepan,Access_A_Ride_perc_postpan_as_prepan,Bridges_and_Tunnels_perc_postpan_as_prepan,Staten_Island_Railway_perc_postpan_as_prepan,All_pred,Subways_pred,Buses_pred,LIRR_pred,Metro_North_pred,Access_A_Ride_pred,Bridges_and_Tunnels_pred,Staten_Island_Railway_pred
2020-03-01,9100503,9810499.327800984,4935293,5339663.312295465,2206248,2325858.6214539004,187623,194993.72557533652,136638,230425.0,37594,34478.62254778143,1592990,1676831.5789473683,4117,8248.466981132075,93.0,92.0,95.0,96.0,59.0,109.0,95.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,5880317,9832868.653884143,2828376,5363845.642701525,1704842,2312653.5,78292,194782.20551378446,72342,230160.0,25874,34531.89516847923,1167088,1688630.6818181816,3503,8264.728682170544,60.0,53.0,74.0,40.0,31.0,75.0,69.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,2252226,9901410.917048097,1028341,5368773.333333333,485008,2377633.179723502,21329,192560.0,44530,234093.58288770053,11291,34885.087719298244,660042,1685289.3048128341,1685,8176.428571428571,23.0,19.0,20.0,11.0,19.0,32.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,1123762,10772813.549695916,596093,5219254.545454545,34052,3405200.0,9637,192740.0,37240,231879.6992481203,7865,34391.228070175435,437856,1681125.0,1019,8223.076923076924,10.0,11.0,1.0,5.0,16.0,23.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,1007582,10261762.663817663,509581,5662011.111111112,22916,2291600.0,6696,223200.0,8052,268400.0,7138,35246.92307692308,452474,1772658.7962962964,725,8645.833333333334,10.0,9.0,1.0,3.0,3.0,20.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,964758,9692153.761904761,455460,5693250.0,16759,1675900.0,4994,249700.0,7460,248666.6666666667,6760,34975.71428571429,472625,1781319.7142857143,700,8341.666666666666,10.0,8.0,1.0,2.0,3.0,19.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,1045128,9455048.615079366,478864,5674118.055555556,15044,1504400.0,4608,230400.0,7849,229266.6666666667,6944,35088.0,531140,1773533.0357142857,679,8242.857142857143,11.0,8.0,1.0,2.0,3.0,20.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,1131580,9443508.857078593,514174,5713044.444444445,14330,1433000.0,4772,190783.33333333334,8482,282733.3333333333,7225,36130.494505494506,581839,1779395.0292397658,758,8422.222222222223,12.0,9.0,1.0,3.0,3.0,20.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,1382897,9492158.636983026,584730,5611968.181818182,15316,1531600.0,7273,242433.33333333337,10747,244480.0,8756,34339.30921052632,755252,1818736.7015098725,823,8601.111111111111,15.0,10.0,1.0,3.0,4.0,25.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,1427532,9356971.764891066,588830,5641075.454545455,13961,1396100.0,15641,227391.6666666667,11895,248391.66666666666,9017,34657.12143928037,787293,1801082.5222396653,895,8273.333333333334,15.0,10.0,1.0,7.0,5.0,26.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
